publication_number,cosine_distance,cosine_similarity
JP-S4823192-B1,0.0,1.0
JP-S4814112-Y1,0.0,1.0
JP-S492299-Y1,0.0,1.0
JP-S4715107-Y1,0.0,1.0
JP-S4816640-Y1,0.0,1.0
JP-S5151201-Y1,0.0,1.0
JP-S4937627-Y1,0.0,1.0
JP-S4811333-Y1,0.0,1.0
JP-S5130409-B1,0.0,1.0
JP-S506159-B1,0.0,1.0
JP-S4943554-B1,0.0,1.0
JP-S50961-Y1,0.0,1.0
JP-S4915006-B1,0.0,1.0
JP-S4739338-Y1,0.0,1.0
JP-S5139553-Y1,0.0,1.0
JP-S5027032-Y1,0.0,1.0
JP-S5013939-Y1,0.0,1.0
JP-S5120909-B1,0.0,1.0
JP-S4912051-B1,0.0,1.0
JP-S4816560-Y1,0.0,1.0
JP-S4830365-B1,0.0,1.0
JP-S4948389-B1,0.0,1.0
JP-S498391-B1,0.0,1.0
JP-S5144630-B1,0.0,1.0
JP-S4814132-Y1,0.0,1.0
JP-S5328737-B1,0.0,1.0
JP-S4844639-Y1,0.0,1.0
JP-S4942661-Y1,0.0,1.0
JP-S4913935-B1,0.0,1.0
JP-S49304-B1,0.0,1.0
JP-S4633348-Y1,0.0,1.0
JP-S4823324-B1,0.0,1.0
JP-S4836274-Y1,0.0,1.0
JP-S4823263-Y1,0.0,1.0
JP-S4938679-B1,0.0,1.0
JP-S4843349-B1,0.0,1.0
JP-S4735035-Y1,0.0,1.0
JP-S4934723-Y1,0.0,1.0
JP-S4826567-Y1,0.0,1.0
JP-S4810727-Y1,0.0,1.0
JP-S5035668-B1,0.0,1.0
JP-S4822213-B1,0.0,1.0
JP-S492911-B1,0.0,1.0
JP-S4926572-B1,0.0,1.0
JP-S4815939-Y1,0.0,1.0
JP-S482364-Y1,0.0,1.0
JP-S4715866-Y1,0.0,1.0
JP-S5011659-Y1,0.0,1.0
JP-S4727244-Y1,0.0,1.0
JP-S4912187-B1,0.0,1.0
JP-S4926476-Y1,0.0,1.0
JP-S491892-Y1,0.0,1.0
JP-S5010201-B1,0.0,1.0
JP-S4839832-Y1,0.0,1.0
JP-S4838699-Y1,0.0,1.0
JP-S494201-Y1,0.0,1.0
JP-S4923933-B1,0.0,1.0
JP-S4831410-B1,0.0,1.0
JP-S5027192-B1,0.0,1.0
